Only_Critical_Stuns 仅关键攻击眩晕

Can_Target_Barricades 破坏路障
Can_Target_Structures 破坏结构
Can_Target_Vehicles 破坏载具

Beacon_Max_Rewards 尸潮信标掉落物奖励 (上限)
Beacon_Max_Participants 尸潮信标参与者奖励 (上限)
Beacon_Rewards_Multiplier (倍) 尸潮信标奖励

Has_Battery_Chance 默认装配电池概率
Min_Battery_Charge 电池电量 (最小)
Max_Battery_Charge 电池电量 (最大)
Has_Tire_Chance 默认装配轮胎概率

Experience_Multiplier (倍) 经验奖励
Detect_Radius_Multiplier (倍) NPC 检测半径
Ray_Aggressor_Distance 攻击者子弹/破坏伤害射线距离

Health_Regen_Min_Food 生命值恢复所需饥饿值 (最小)
Health_Regen_Min_Water 生命值恢复所需口渴值 (最小)
Health_Regen_Ticks (秒) 生命值每周期回复

Food_Use_Ticks (秒) 饥饿值周期
Food_Damage_Ticks 饥饿值每周期消耗

Water_Use_Ticks (秒) 口渴值周期
Water_Damage_Ticks 口渴值每周期消耗

Virus_Infect 健康值感染阈值
Virus_Use_Ticks (秒) 健康值周期
Virus_Damage_Ticks 健康值每周期消耗

Leg_Regen_Ticks (秒) 骨折自愈周期
Bleed_Damage_Ticks 生命值每周期消耗
Bleed_Regen_Ticks 生命值每周期回复

Lose_Skills_PvP 死亡丢失技能 (PVP)
Lose_Skills_PvE 死亡丢失技能 (PVE)
Lose_Experience_PvP 死亡丢失经验 (PVP)
Lose_Experience_PvE 死亡丢失经验 (PVE)
Lose_Items_PvP 死亡丢失物品 (PVP)
Lose_Items_PvE 死亡丢失物品 (PVE)
Lose_Clothes_PvP 死亡丢失衣服 (PVP)
Lose_Clothes_PvE 死亡丢失衣服 (PVE)
Lose_Weapons_PvP 死亡丢失武器 (PVP)
Lose_Weapons_PvE 死亡丢失武器 (PVE)

Can_Hurt_Legs 摔落伤害
Can_Break_Legs 摔落骨折
Can_Fix_Legs 骨折自愈
Can_Start_Bleeding 受伤流血
Can_Stop_Bleeding 流血自愈

Spawn_With_Max_Skills 出生全部技能满级
Spawn_With_Stamina_Skills 出生耐力技能满级
Allow_Instakill_Headshots 允许被爆头秒杀
Allow_Per_Character_Saves 允许按角色保存数据

Rain_Frequency_Min 降雨频率 (最小)
Rain_Frequency_Max 降雨频率 (最大)
Rain_Duration_Min 降雨持续时间 (最小)
Rain_Duration_Max 降雨持续时间 (最大)

Snow_Frequency_Min 降雪频率 (最小)
Snow_Frequency_Max 降雪频率 (最大)
Snow_Duration_Min 降雪持续时间 (最小)
Snow_Duration_Max 降雪持续时间 (最大)

Weather_Frequency_Multiplier (倍) 天气频率
Weather_Duration_Multiplier (倍) 天气持续时间

Binary_State_Reset_Multiplier (倍) 开/关状态重置时间
Fuel_Reset_Multiplier (倍) 储油量刷新时间
Water_Reset_Multiplier (倍) 蓄水量刷新时间
Resource_Reset_Multiplier (倍) 自然资源点刷新时间
Resource_Drops_Multiplier (倍) 自然资源点掉落数量
Rubble_Reset_Multiplier (倍) 矿点资源刷新时间
Allow_Holiday_Drops Allow Holiday Drops

Airdrop_Frequency_Min 空投频率 (最小)
Airdrop_Frequency_Max 空投频率 (最大)
Airdrop_Speed 空投运送速度
Airdrop_Force 空投降落速度

Arena_Min_Players 竞技场最少玩家
Arena_Compactor_Damage 竞技场边界伤害

Arena_Clear_Timer 竞技场清理倒计时
Arena_Finale_Timer 竞技场结束倒计时
Arena_Restart_Timer 竞技场开始倒计时

Use_Airdrops 开启空投
Arena_Use_Compactor_Pause 开启竞技场缩圈暂停

Arena_Compactor_Delay_Timer 竞技场缩圈推迟倒计时
Arena_Compactor_Pause_Timer 竞技场缩圈暂停倒计时

Arena_Compactor_Speed_Tiny 竞技场缩圈速率 (迷你)
Arena_Compactor_Speed_Small 竞技场缩圈速率 (小型)
Arena_Compactor_Speed_Medium 竞技场缩圈速率 (中型)
Arena_Compactor_Speed_Large 竞技场缩圈速率 (大型)
Arena_Compactor_Speed_Insane 竞技场缩圈速率 (巨型)
Arena_Compactor_Shrink_Factor 竞技场缩圈速度

Repair_Level_Max Max Repair Level
Hitmarkers 显示命中标记
Crosshair 显示准星
Ballistics 显示弹道
Chart 提供地图
Satellite 提供导航
Compass 提供指南针
Group_Map 显示群组 (地图)
Group_HUD 显示群组 (HUD)
Group_Player_List 显示群组 (玩家列表)
Allow_Static_Groups 允许群组 (静态)
Allow_Dynamic_Groups 允许群组 (动态)
Allow_Shoulder_Camera 允许切换视角
Can_Suicide 允许自杀
Friendly_Fire 允许友伤
Bypass_Buildable_Mobility 允许在载具上放置哨兵枪/床
Allow_Freeform_Buildables 允许无结构建造

Timer_Exit 退出倒计时
Timer_Respawn 重生倒计时
Timer_Home 回家重生倒计时
Timer_Leave_Group 离开群组倒计时
Max_Group_Members 群组成员 (上限)

Default 重置
Default_Tooltip 恢复默认设置

Allow_Item_Placement_On_Vehicle 允许在载具上放置 物品
Allow_Trap_Placement_On_Vehicle 允许在载具上放置 陷阱
Max_Item_Distance_From_Hull 物品与载具距离 (最大)
Max_Trap_Distance_From_Hull 陷阱与载具距离 (最大)

ThirdPerson_RecoilMultiplier (倍) 第三人称反冲
ThirdPerson_SpreadMultiplier (倍) 第三人称散布
