Columns_Tooltip 列表
Combat_Filter_Any_Tooltip 忽略服务是否 仅PvP / 仅PvE 模式.
PvP_Button PvP
Combat_Filter_PvP_Tooltip 仅显示 PvP 的服务器.
PvE_Button PvE
Combat_Filter_PvE_Tooltip 仅显示 PvE 的服务器.

Cheats_Filter_Label 作弊筛选
Cheats_Filter_Toggle_Tooltip 显示/隐藏.
Any_Cheats_Button 作弊: 全部
Cheats_Filter_Any_Tooltip 忽略服务是否需要允许管理员作弊(生成物品和载具).
Yes_Cheats_Button 作弊: 禁用
Cheats_Filter_Yes_Tooltip 仅显示禁止管理员作弊的服务器.
No_Cheats_Button 作弊: 允许
Cheats_Filter_No_Tooltip 仅显示允许管理员作弊的服务器.

Gold_Filter_Label 黄金会员筛选
Gold_Filter_Toggle_Tooltip 显示/隐藏.
Gold_Filter_Any_Label 黄金会员: 全部
Gold_Filter_Any_Tooltip 忽略服务是否需要黄金会员.
Gold_Filter_DoesNotRequireGold_Label 黄金会员: 非必须
Gold_Filter_DoesNotRequireGold_Tooltip 仅显示不需要黄金会员的服务器.
Gold_Filter_RequiresGold_Label 黄金会员: 必须
Gold_Filter_RequiresGold_Tooltip 仅显示需要黄金会员的服务器.

Perspective_Filter_Label 相机视角筛选
Perspective_Filter_Toggle_Tooltip 显示/隐藏.
Any_Camera_Button 相机视角: 全部
Perspective_Filter_Any_Tooltip 忽略服务是否允许切换相机视角.
First_Button 相机视角: 第一人称
Perspective_Filter_FirstPerson_Tooltip 仅显示限制第一人称视角的服务器.
Third_Button 相机视角: 第三人称
Perspective_Filter_ThirdPerson_Tooltip 仅显示限制第三人称视角的服务器.
Both_Button 相机视角: 多相机视角
Perspective_Filter_Both_Tooltip 仅显示限制第一/三人称视角的服务器.
Vehicle_Button 相机视角: 第三人称(载具)
Perspective_Filter_Vehicle_Tooltip 仅显示限制第三人称(载具)视角的服务器.

Monetization_Filter_Label 商业化运营筛选
Monetization_Filter_Toggle_Tooltip 显示/隐藏.
Monetization_Any_Button 商业化运营: 全部
Monetization_Filter_Any_Tooltip 忽略服务是否商业化运营.
Monetization_None_Button 商业化运营: 否
Monetization_Filter_None_Tooltip 仅显示非商业化运营的服务器. (完全免费!)
Monetization_NonGameplay_Button 商业化运营: 是(非游戏性)
Monetization_Filter_NonGameplay_Tooltip 仅显示出售不影响游戏玩法的内容和非商业化运营的服务器.

No_Servers 没有在服务器列表上找到 {0} 版本的服务器
No_Servers_Hint 也许筛选器条件过于特殊?
Reset_Filters 重置筛选器
Reset_Filters_Tooltip 恢复默认.

Sort_Name 名称
Sort_Name_Tooltip 按服务器名称排序.

Sort_Map 地图
Sort_Map_Tooltip 按地图名称排序.
Map_Column_Toggle_Label 地图
Map_Column_Toggle_Tooltip 切换地图列表可见性.

Sort_Players 玩家
Sort_Players_Tooltip 按在线玩家数量排序.
Players_Column_Toggle_Label 玩家
Players_Column_Toggle_Tooltip 切换玩家列表可见性.

Sort_Ping 延迟
Sort_Ping_Tooltip 按服务器延迟排序.
Ping_Column_Toggle_Label 延迟
Ping_Column_Toggle_Tooltip 切换延迟列表可见性.

Anticheat_Column_Label 反作弊
Anticheat_Column_Tooltip 按反作弊排序.
Anticheat_Column_Toggle_Label 反作弊
Anticheat_Column_Toggle_Tooltip 切换反作弊列表可见性.
Anticheat_Column_BattlEye_Tooltip 仅战眼.
Anticheat_Column_VAC_Tooltip 仅 VAC.
Anticheat_Column_Both_Tooltip VAC / 战眼.
Anticheat_Column_None_Tooltip 无反作弊保护.

Perspective_Column_Tooltip 按相机视角排序.
Perspective_Column_Toggle_Label 相机视角
Perspective_Column_Toggle_Tooltip 切换相机视角列表可见性.
Perspective_Column_First_Tooltip 第一人称视角.
Perspective_Column_Third_Tooltip 第三人称视角.
Perspective_Column_Both_Tooltip 第一/三人称视角.
Perspective_Column_Vehicle_Tooltip 允许第三人称(载具)视角.

Combat_Column_Tooltip 按 PvP/PvE 模式排序.
Combat_Column_Toggle_Label PvP/PvE
Combat_Column_Toggle_Tooltip 切换 PvP/PvE 列表可见性.
Combat_Column_PvP_Tooltip PvP
Combat_Column_PvE_Tooltip PvE

Password_Column_Tooltip 按密码保护排序.
Password_Column_Toggle_Label 密码保护
Password_Column_Toggle_Tooltip 切换密码保护列表可见性.
Password_Column_Yes_Tooltip 有密码.
Password_Column_No_Tooltip 无密码.

Workshop_Column_Tooltip 按创意工坊进行排序.
Workshop_Column_Toggle_Label 创意工坊
Workshop_Column_Toggle_Tooltip 切换创意工坊列表可见性.
Workshop_Column_Yes_Tooltip 需要创意工坊.
Workshop_Column_No_Tooltip 不需要创意工坊.

MaxPlayers_Column_Label 最大玩家
MaxPlayers_Column_Tooltip 按最大玩家进行排序.
MaxPlayers_Column_Toggle_Label 最大玩家
MaxPlayers_Column_Toggle_Tooltip 切换最大玩家列表可见性.

Gold_Column_Tooltip 按是否黄金会员排序
Gold_Column_Toggle_Label 黄金会员
Gold_Column_Toggle_Tooltip 切换黄金会员列表可见性.
Gold_Column_Yes_Tooltip 仅黄金会员.
Gold_Column_No_Tooltip 非黄金会员.

Cheats_Column_Tooltip 按作弊排序.
Cheats_Column_Toggle_Label 作弊
Cheats_Column_Toggle_Tooltip 切换作弊列表可见性.
Cheats_Column_Yes_Tooltip 允许管理员作弊.
Cheats_Column_No_Tooltip 禁止管理员作弊.

Monetization_Column_Tooltip 按商业化运营排序.
Monetization_Column_Toggle_Label 商业化运营
Monetization_Column_Toggle_Tooltip 切换商业化运营列表可见性.
Monetization_Column_Unspecified_Tooltip 未注明.
Monetization_Column_NonGameplay_Tooltip 出售不影响游戏玩法的内容.
Monetization_Column_Monetized_Tooltip 出售可能影响游戏玩法的内容.
Monetization_Column_None_Tooltip 不出售任何内容. 完全免费!

Plugins_Column_Tooltip 按插件框架排序.
Plugins_Column_Toggle_Label 插件框架
Plugins_Column_Toggle_Tooltip 切换插件列表可见性.
Plugins_Column_None_Tooltip 服务器无插件.
Plugins_Column_Rocket_Tooltip RocketMod 框架.
Plugins_Column_OpenMod_Tooltip OpenMod 框架.
Plugins_Column_Unknown_Tooltip 未知的插件框架.

Favorite_On_Button_Tooltip 收藏
Favorite_Off_Button_Tooltip 取消收藏
